Time (UTC), Channel2
05/22/21 15:06:45, 
05/22/21 15:07:10, 
05/22/21 15:07:15, 
05/22/21 15:07:35, 113.1
05/22/21 15:07:40, 113.1
05/22/21 15:07:45, 
05/22/21 15:08:10, 
05/22/21 15:08:15, 
05/22/21 15:08:35, 113.8
05/22/21 15:08:40, 113.8
05/22/21 15:08:45, 
05/22/21 15:09:10, 
05/22/21 15:09:15, 
05/22/21 15:09:35, 114.5
05/22/21 15:09:40, 114.5
05/22/21 15:09:45, 
05/22/21 15:10:10, 
05/22/21 15:10:15, 
05/22/21 15:10:35, 115.2
05/22/21 15:10:40, 115.2
05/22/21 15:10:45, 
05/22/21 15:11:10, 
05/22/21 15:11:15, 
05/22/21 15:11:35, 115.9
05/22/21 15:11:40, 115.9
05/22/21 15:11:45, 
05/22/21 15:12:10, 
05/22/21 15:12:15, 
05/22/21 15:12:35, 116.5
05/22/21 15:12:40, 116.5
05/22/21 15:12:45, 
05/22/21 15:13:10, 
05/22/21 15:13:15, 
05/22/21 15:13:35, 117.2
05/22/21 15:13:40, 117.2
05/22/21 15:13:45, 
05/22/21 15:14:10, 
05/22/21 15:14:15, 
05/22/21 15:14:35, 117.9
05/22/21 15:14:40, 117.9
05/22/21 15:14:45, 
05/22/21 15:15:10, 
05/22/21 15:15:15, 
05/22/21 15:15:35, 118.6
05/22/21 15:15:40, 118.6
05/22/21 15:15:45, 
05/22/21 15:16:10, 
05/22/21 15:16:15, 
05/22/21 15:16:35, 119.3
05/22/21 15:16:40, 119.3
05/22/21 15:16:45, 
05/22/21 15:17:10, 
05/22/21 15:17:15, 
05/22/21 15:17:35, 120.0
05/22/21 15:17:40, 120.0
05/22/21 15:17:45, 
05/22/21 15:18:10, 
05/22/21 15:18:15, 
05/22/21 15:18:35, 120.6
05/22/21 15:18:40, 120.6
05/22/21 15:18:45, 
05/22/21 15:19:10, 
05/22/21 15:19:15, 
05/22/21 15:19:35, 121.3
05/22/21 15:19:40, 121.3
05/22/21 15:19:45, 
05/22/21 15:20:10, 
05/22/21 15:20:15, 
05/22/21 15:20:35, 121.9
05/22/21 15:20:40, 121.9
05/22/21 15:20:45, 
05/22/21 15:21:10, 
05/22/21 15:21:15, 
05/22/21 15:21:35, 122.5
05/22/21 15:21:40, 122.5
05/22/21 15:21:45, 
05/22/21 15:22:10, 
05/22/21 15:22:15, 
05/22/21 15:22:35, 123.1
05/22/21 15:22:40, 123.1
05/22/21 15:22:45, 
05/22/21 15:23:10, 
05/22/21 15:23:15, 
05/22/21 15:23:35, 123.8
05/22/21 15:23:40, 123.8
05/22/21 15:23:45, 
05/22/21 15:24:10, 
05/22/21 15:24:15, 
05/22/21 15:24:35, 124.3
05/22/21 15:24:40, 124.3
05/22/21 15:24:45, 
05/22/21 15:25:10, 
05/22/21 15:25:15, 
05/22/21 15:25:35, 124.9
05/22/21 15:25:40, 124.9
05/22/21 15:25:45, 
05/22/21 15:26:10, 
05/22/21 15:26:15, 
05/22/21 15:26:35, 125.5
05/22/21 15:26:40, 125.5
05/22/21 15:26:45, 
05/22/21 15:27:10, 
05/22/21 15:27:15, 
05/22/21 15:27:35, 126.1
05/22/21 15:27:40, 126.1
05/22/21 15:27:45, 
05/22/21 15:28:10, 
05/22/21 15:28:15, 
05/22/21 15:28:35, 126.6
05/22/21 15:28:40, 126.6
05/22/21 15:28:45, 
05/22/21 15:29:10, 
05/22/21 15:29:15, 
05/22/21 15:29:35, 127.2
05/22/21 15:29:40, 127.2
05/22/21 15:29:45, 
05/22/21 15:30:10, 
05/22/21 15:30:15, 
05/22/21 15:30:35, 127.7
05/22/21 15:30:40, 127.7
05/22/21 15:30:45, 
05/22/21 15:31:10, 
05/22/21 15:31:15, 
05/22/21 15:31:35, 128.2
05/22/21 15:31:40, 128.2
05/22/21 15:31:45, 
05/22/21 15:32:10, 
05/22/21 15:32:15, 
05/22/21 15:32:35, 128.7
05/22/21 15:32:40, 128.7
05/22/21 15:32:45, 
05/22/21 15:33:10, 
05/22/21 15:33:15, 
05/22/21 15:33:35, 129.2
05/22/21 15:33:40, 129.2
05/22/21 15:33:45, 
05/22/21 15:34:10, 
05/22/21 15:34:15, 
05/22/21 15:34:35, 129.7
05/22/21 15:34:40, 129.7
05/22/21 15:34:45, 
05/22/21 15:35:10, 
05/22/21 15:35:15, 
05/22/21 15:35:35, 130.2
05/22/21 15:35:40, 130.2
05/22/21 15:35:45, 
05/22/21 15:36:10, 
05/22/21 15:36:15, 
05/22/21 15:36:35, 130.7
05/22/21 15:36:40, 130.7
05/22/21 15:36:45, 
05/22/21 15:37:10, 
05/22/21 15:37:15, 
05/22/21 15:37:35, 131.2
05/22/21 15:37:40, 131.2
05/22/21 15:37:45, 
05/22/21 15:38:10, 
05/22/21 15:38:15, 
05/22/21 15:38:35, 131.7
05/22/21 15:38:40, 131.7
05/22/21 15:38:45, 
05/22/21 15:39:10, 
05/22/21 15:39:15, 
05/22/21 15:39:35, 132.2
05/22/21 15:39:40, 132.2
05/22/21 15:39:45, 
05/22/21 15:40:10, 
05/22/21 15:40:15, 
05/22/21 15:40:35, 132.7
05/22/21 15:40:40, 132.7
05/22/21 15:40:45, 
05/22/21 15:41:10, 
05/22/21 15:41:15, 
05/22/21 15:41:35, 133.2
05/22/21 15:41:40, 133.2
05/22/21 15:41:45, 
05/22/21 15:42:10, 
05/22/21 15:42:15, 
05/22/21 15:42:35, 133.6
05/22/21 15:42:40, 133.6
05/22/21 15:42:45, 
05/22/21 15:43:10, 
05/22/21 15:43:15, 
05/22/21 15:43:35, 134.0
05/22/21 15:43:40, 134.0
05/22/21 15:43:45, 
05/22/21 15:44:10, 
05/22/21 15:44:15, 
05/22/21 15:44:35, 134.4
05/22/21 15:44:40, 134.4
05/22/21 15:44:45, 
05/22/21 15:45:10, 
05/22/21 15:45:15, 
05/22/21 15:45:35, 134.9
05/22/21 15:45:40, 134.9
05/22/21 15:45:45, 
05/22/21 15:46:10, 
05/22/21 15:46:15, 
05/22/21 15:46:35, 135.3
05/22/21 15:46:40, 135.3
05/22/21 15:46:45, 
05/22/21 15:47:10, 
05/22/21 15:47:15, 
05/22/21 15:47:35, 135.7
05/22/21 15:47:40, 135.7
05/22/21 15:47:45, 
05/22/21 15:48:10, 
05/22/21 15:48:15, 
05/22/21 15:48:35, 136.1
05/22/21 15:48:40, 136.1
05/22/21 15:48:45, 
05/22/21 15:49:10, 
05/22/21 15:49:15, 
05/22/21 15:49:35, 136.5
05/22/21 15:49:40, 136.5
05/22/21 15:49:45, 
05/22/21 15:50:10, 
05/22/21 15:50:15, 
05/22/21 15:50:35, 136.9
05/22/21 15:50:40, 136.9
05/22/21 15:50:45, 
05/22/21 15:51:10, 
05/22/21 15:51:15, 
05/22/21 15:51:35, 137.3
05/22/21 15:51:40, 137.3
05/22/21 15:51:45, 
05/22/21 15:52:10, 
05/22/21 15:52:15, 
05/22/21 15:52:35, 137.7
05/22/21 15:52:40, 137.7
05/22/21 15:52:45, 
05/22/21 15:53:10, 
05/22/21 15:53:15, 
05/22/21 15:53:35, 138.1
05/22/21 15:53:40, 138.1
05/22/21 15:53:45, 
05/22/21 15:54:10, 
05/22/21 15:54:15, 
05/22/21 15:54:35, 138.4
05/22/21 15:54:40, 138.4
05/22/21 15:54:45, 
05/22/21 15:55:10, 
05/22/21 15:55:15, 
05/22/21 15:55:35, 138.8
05/22/21 15:55:40, 138.8
05/22/21 15:55:45, 
05/22/21 15:56:10, 
05/22/21 15:56:15, 
05/22/21 15:56:35, 139.2
05/22/21 15:56:40, 139.2
05/22/21 15:56:45, 
05/22/21 15:57:10, 
05/22/21 15:57:15, 
05/22/21 15:57:35, 139.5
05/22/21 15:57:40, 139.5
05/22/21 15:57:45, 
05/22/21 15:58:10, 
